照片,时间/s,σx/MPa,σy/MPa,等效应力/MPa
000147.jpg,14.707100,50.53507729,50.67929642,50.60734097
000148.jpg,14.807100,50.55245309,50.71404801,50.63344395
000149.jpg,14.907100,50.58573629,50.73142381,50.65873717
000150.jpg,15.007100,50.58720468,50.76617541,50.67692707
000151.jpg,15.107100,50.65670788,50.80092701,50.72897119
000152.jpg,15.207100,50.70883527,50.83567860,50.77237577
000153.jpg,15.307100,50.72621107,50.85305440,50.78975153
000154.jpg,15.407200,50.76096267,50.88780600,50.82450305
000155.jpg,15.507200,50.79571427,50.90518180,50.85053640
000156.jpg,15.607200,50.83046586,50.92255760,50.87657424
000157.jpg,15.707200,50.84784166,50.95730919,50.90266371
000158.jpg,15.807200,50.88259326,50.97468499,50.92870157
000159.jpg,15.907200,50.89996906,51.00943659,50.95479101
000160.jpg,16.007200,50.93056026,51.03097278,50.98084069
000161.jpg,16.107300,50.95209645,51.06156398,51.00691832
000162.jpg,16.207300,50.96947225,51.09631558,51.03301214
000163.jpg,16.307300,51.03897545,51.13106718,51.08508357
000164.jpg,16.407300,51.09110284,51.16581877,51.12850175
000165.jpg,16.507300,51.12585444,51.20057037,51.16325332
000166.jpg,16.607300,51.16060603,51.23532197,51.19800489
000167.jpg,16.707300,51.19535763,51.28744936,51.24146556
000168.jpg,16.807400,51.24748503,51.32220096,51.28488381
000169.jpg,16.907400,51.28223662,51.33957676,51.31093072
000170.jpg,17.007400,51.29961242,51.39170415,51.34572023
000171.jpg,17.107400,51.33436402,51.46120735,51.39790307
000172.jpg,17.207400,51.38649141,51.46120735,51.42389009
000173.jpg,17.307400,51.45599461,51.49595895,51.47598841
000174.jpg,17.407400,51.49074621,51.56546214,51.52814480
000175.jpg,17.507500,51.52549780,51.60021374,51.56289637
000176.jpg,17.607500,51.59500100,51.63496533,51.61499477
000177.jpg,17.707500,51.62975259,51.68709273,51.65844653
000178.jpg,17.807500,51.68187999,51.72184433,51.70187374
000179.jpg,17.907500,51.73400738,51.79134752,51.76270127
000180.jpg,18.007500,51.78613478,51.84347492,51.81482864
000181.jpg,18.107500,51.83826218,51.86085071,51.84956013
000182.jpg,18.207500,51.86346932,51.91297811,51.88824143
000183.jpg,18.307600,51.90776537,51.98248130,51.94516364
000184.jpg,18.407600,51.95989276,52.01723290,51.98858655
000185.jpg,18.507600,52.04677176,52.06936030,52.05806970
000186.jpg,18.607600,52.08152335,52.12148769,52.10151702
000187.jpg,18.707600,52.13365075,52.17361509,52.15364440
000188.jpg,18.807600,52.20315394,52.24311828,52.22314758
000189.jpg,18.907600,52.25528134,52.27786988,52.26657927
000190.jpg,19.007700,52.32478453,52.31262147,52.31870406
000191.jpg,19.107700,52.34216033,52.34737307,52.34476690
000192.jpg,19.207700,52.41166353,52.41687627,52.41427009
000193.jpg,19.307700,52.45669378,52.47414297,52.46542055
000194.jpg,19.407700,52.49854252,52.53850685,52.51853609
000195.jpg,19.507700,52.55066991,52.57325845,52.56196782
000196.jpg,19.607700,52.60279731,52.60801005,52.60540387
000197.jpg,19.707800,52.67230050,52.67751324,52.67490707
000198.jpg,19.807800,52.70705210,52.72964064,52.71835000
000199.jpg,19.907800,52.77655529,52.78176803,52.77916186
000200.jpg,20.007800,52.82868269,52.81651963,52.82260221
000201.jpg,20.107800,52.91556168,52.88602282,52.90079844
000202.jpg,20.207800,52.93293748,52.93815022,52.93554404
000203.jpg,20.307800,52.96768908,52.99027762,52.97898696
000204.jpg,20.407900,53.00733526,53.02747652,53.01740876
000205.jpg,20.507900,53.07194387,53.07715661,53.07455043
000206.jpg,20.607900,53.14144706,53.11190820,53.12668379
000207.jpg,20.707900,53.17619866,53.16403560,53.17011817
000208.jpg,20.807900,53.21095026,53.21616300,53.21355682
