照片,时间/s,X向力/N,Y向力/N,DIC导出文件,DIC数据来源,合并文件,点数,DAT原始点数,排除无效点数,状态
000015.jpg,0.3044,296.650000,0.000000,_matchid_export\S20_X_2\000015.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000015_DIC全场—力.csv,7930,7932,2,READY
000016.jpg,0.3243,319.150000,0.000000,_matchid_export\S20_X_2\000016.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000016_DIC全场—力.csv,7933,7935,2,READY
000017.jpg,0.3442,331.650000,0.000000,_matchid_export\S20_X_2\000017.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000017_DIC全场—力.csv,7934,7936,2,READY
000018.jpg,0.3642,355.150000,0.000000,_matchid_export\S20_X_2\000018.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000018_DIC全场—力.csv,7932,7934,2,READY
000019.jpg,0.3841,378.650000,0.000000,_matchid_export\S20_X_2\000019.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000019_DIC全场—力.csv,7932,7934,2,READY
000020.jpg,0.4040,401.650000,0.000000,_matchid_export\S20_X_2\000020.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000020_DIC全场—力.csv,7932,7934,2,READY
000021.jpg,0.4240,424.150000,0.000000,_matchid_export\S20_X_2\000021.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000021_DIC全场—力.csv,7933,7935,2,READY
000022.jpg,0.4439,435.150000,0.000000,_matchid_export\S20_X_2\000022.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000022_DIC全场—力.csv,7934,7936,2,READY
000023.jpg,0.4638,458.650000,0.000000,_matchid_export\S20_X_2\000023.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000023_DIC全场—力.csv,7931,7933,2,READY
000024.jpg,0.4838,481.650000,0.000000,_matchid_export\S20_X_2\000024.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000024_DIC全场—力.csv,7934,7936,2,READY
000025.jpg,0.5037,503.650000,0.000000,_matchid_export\S20_X_2\000025.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000025_DIC全场—力.csv,7931,7933,2,READY
000026.jpg,0.5236,526.150000,0.000000,_matchid_export\S20_X_2\000026.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000026_DIC全场—力.csv,7933,7935,2,READY
000027.jpg,0.5436,543.537097,0.000000,_matchid_export\S20_X_2\000027.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000027_DIC全场—力.csv,7933,7935,2,READY
