照片,时间/s,X向力/N,Y向力/N,DIC导出文件,合并文件,点数,状态
000072.jpg,7.2676,711.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000072.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000072_DIC全场—力.csv,9144,READY
000073.jpg,7.3690,721.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000073.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000073_DIC全场—力.csv,9144,READY
000074.jpg,7.4704,730.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000074.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000074_DIC全场—力.csv,9144,READY
000075.jpg,7.5718,739.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000075.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000075_DIC全场—力.csv,9144,READY
000076.jpg,7.6732,748.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000076.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000076_DIC全场—力.csv,9144,READY
000077.jpg,7.7746,757.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000077.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000077_DIC全场—力.csv,9144,READY
000078.jpg,7.8760,766.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000078.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000078_DIC全场—力.csv,9144,READY
000079.jpg,7.9774,774.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000079.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000079_DIC全场—力.csv,9144,READY
000080.jpg,8.0788,782.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000080.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000080_DIC全场—力.csv,9144,READY
000081.jpg,8.1802,791.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000081.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000081_DIC全场—力.csv,9144,READY
000082.jpg,8.2816,800.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000082.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000082_DIC全场—力.csv,9144,READY
000083.jpg,8.3830,810.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000083.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000083_DIC全场—力.csv,9143,READY
000084.jpg,8.4845,818.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000084.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000084_DIC全场—力.csv,9144,READY
000085.jpg,8.5859,826.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000085.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000085_DIC全场—力.csv,9144,READY
000086.jpg,8.6873,834.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000086.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000086_DIC全场—力.csv,9144,READY
000087.jpg,8.7887,842.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000087.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000087_DIC全场—力.csv,9144,READY
000088.jpg,8.8901,851.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000088.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000088_DIC全场—力.csv,9144,READY
000089.jpg,8.9915,860.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000089.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000089_DIC全场—力.csv,9144,READY
000090.jpg,9.0929,868.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000090.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000090_DIC全场—力.csv,9144,READY
000091.jpg,9.1943,876.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000091.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000091_DIC全场—力.csv,9144,READY
000092.jpg,9.2957,884.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000092.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000092_DIC全场—力.csv,9144,READY
000093.jpg,9.3971,892.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000093.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000093_DIC全场—力.csv,9144,READY
000094.jpg,9.4985,901.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000094.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000094_DIC全场—力.csv,9144,READY
000095.jpg,9.5999,908.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000095.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000095_DIC全场—力.csv,9144,READY
000096.jpg,9.7014,916.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000096.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000096_DIC全场—力.csv,9144,READY
000097.jpg,9.8028,926.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000097.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000097_DIC全场—力.csv,9144,READY
000098.jpg,9.9042,934.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000098.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000098_DIC全场—力.csv,9144,READY
000099.jpg,10.0056,941.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000099.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000099_DIC全场—力.csv,9144,READY
000100.jpg,10.1070,949.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000100.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000100_DIC全场—力.csv,9144,READY
000101.jpg,10.2084,958.100000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000101.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000101_DIC全场—力.csv,9144,READY
000102.jpg,10.3098,965.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000102.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000102_DIC全场—力.csv,9144,READY
000103.jpg,10.4112,973.600000,0.000000,D:\2026.9.21_finally\_matchid_export\S19_X_0.2\000103.jpg.csv,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S19_X_0.2\merged\000103_DIC全场—力.csv,9144,READY
