照片,时间/s,X向力/N,Y向力/N,X向位移/mm,X向应变,X向应力/MPa,Y向位移/mm,Y向应变,Y向应力/MPa
000040.jpg,4.005549295774649,544.68,545.33,0.783199999999999,0.026106666666666632,18.156,0.7801999999999989,0.02600666666666663,18.177666666666667
000041.jpg,4.105563380281691,558.806760563381,559.4567605633811,0.8017000000000003,0.026723333333333342,18.626892018779365,0.7992366197183092,0.026641220657276973,18.648558685446037
000042.jpg,4.205577464788733,572.68,574.33,0.8231999999999999,0.02744,19.089333333333332,0.8197802816901412,0.027326009389671373,19.144333333333336
000043.jpg,4.305591549295776,586.18,586.33,0.8413915492957749,0.02804638497652583,19.53933333333333,0.8417999999999992,0.028059999999999974,19.544333333333334
000044.jpg,4.405605633802817,598.68,599.33,0.8629056338028178,0.028763521126760595,19.956,0.8604000000000003,0.028680000000000008,19.977666666666668
000045.jpg,4.50561971830986,611.18,612.33,0.8819000000000017,0.029396666666666724,20.372666666666664,0.8798000000000012,0.02932666666666671,20.411
000046.jpg,4.605633802816902,624.18,625.33,0.9012999999999991,0.030043333333333304,20.805999999999997,0.8994,0.02998,20.844333333333335
000047.jpg,4.705647887323944,636.68,638.33,0.9208999999999996,0.030696666666666653,21.222666666666665,0.9185478873239425,0.030618262910798087,21.27766666666667
000048.jpg,4.805661971830986,648.68,650.83,0.9423999999999992,0.03141333333333331,21.622666666666664,0.9403999999999986,0.03134666666666662,21.694333333333336
000049.jpg,4.905676056338028,661.68,663.33,0.9615760563380285,0.032052535211267615,22.055999999999997,0.9599999999999991,0.031999999999999966,22.111
000050.jpg,5.005690140845071,674.68,676.33,0.9814000000000007,0.03271333333333336,22.48933333333333,0.9794999999999998,0.03264999999999999,22.544333333333334
000051.jpg,5.105704225352113,687.18,689.33,1.0026042253521137,0.03342014084507046,22.906,0.9987042253521121,0.033290140845070405,22.977666666666668
000052.jpg,5.205718309859155,701.61661971831,702.26661971831,1.0237535211267605,0.034125117370892015,23.387220657277,1.0204000000000004,0.03401333333333335,23.408887323943667
