样本末帧,E/MPa,虚功均方根残差/N,样本点数,Y/MPa,H/MPa,拟合均方根残差/MPa
000137.jpg,,,90,35.772409755037174,976.5988166563529,4.9932735605393965
000138.jpg,,,91,36.0259594570734,938.3134355776114,5.084777304336043
000139.jpg,,,92,36.27407019360251,901.6717617578158,5.173660630497039
000140.jpg,,,93,36.514894102902524,866.8392981828127,5.259133648832848
000141.jpg,,,94,36.74799481291298,833.8295580230889,5.340452620283349
000142.jpg,,,95,36.979756278724274,801.7980747820803,5.421463983231271
000143.jpg,,,96,37.202635367523015,771.5975129863829,5.4980242555992564
000144.jpg,,,97,37.4172162629192,743.0981329421328,5.570323717147297
000145.jpg,,,98,37.620160030316825,716.6138645848666,5.636441129398075
000146.jpg,,,99,37.81956746495815,691.1686322627802,5.701028923907279
000147.jpg,,,100,38.01140242797472,667.1553097989286,5.761937618079118
000148.jpg,,,101,38.19660455083484,644.4197292783077,5.819690017297216
000149.jpg,,,102,38.377699782232874,622.6661079624554,5.875408522629581
000150.jpg,,,103,38.55338616710232,601.9832439498543,5.928525217303369
000151.jpg,,,104,38.723448622219564,582.3521430597327,5.9789203268409565
000152.jpg,,,105,38.88533731344365,563.9787746665749,6.025194492057234
000153.jpg,,,106,39.042093337227925,546.5236320909714,6.069089114909589
000154.jpg,,,107,39.19557260214995,529.7970056982757,6.11124422752676
000155.jpg,,,108,39.34388822132216,513.9285601600685,6.150982704888123
000156.jpg,,,109,39.48694083351896,498.8974784925988,6.1881859520253855
000157.jpg,,,110,39.62477385601828,484.664139590841,6.22297727103888
000158.jpg,,,111,39.758013379496425,471.1519690439181,6.255532537488064
000159.jpg,,,112,39.88633009771635,458.3592797043786,6.285737210146917
000160.jpg,,,113,40.01006988058539,446.2304511921247,6.3137896854393745
000161.jpg,,,114,40.13050047749556,434.64086006403164,6.340317418788548
000162.jpg,,,115,40.246791176655584,423.6424504340561,6.364747094449277
000163.jpg,,,116,40.359741542785954,413.1463319093857,6.387639385807072
000164.jpg,,,117,40.468877706584024,403.1660866189366,6.408855715045796
000165.jpg,,,118,40.573746741844595,393.7200462907376,6.428087925098061
000166.jpg,,,119,40.67578219615949,384.68648377924023,6.446016795562432
000167.jpg,,,120,40.77494056834871,376.0524976499126,6.462662544777295
000168.jpg,,,121,40.87214226516606,367.734351032518,6.4786117670774885
000169.jpg,,,122,40.9655397432247,359.8576866708849,6.492722259329634
000170.jpg,,,123,41.05704434126691,352.27487752970353,6.506012745789718
000171.jpg,,,124,41.146330000477704,344.9976689168351,6.51832844613845
000172.jpg,,,125,41.23191886966561,338.1140941659567,6.528917508609934
000173.jpg,,,126,41.31658463020395,331.4267800490879,6.539264985181943
000174.jpg,,,127,41.39797368274869,325.08617237040306,6.54803825925482
000175.jpg,,,128,41.478186764298556,318.9476958327781,6.556308748777517
000176.jpg,,,129,41.55529635294684,313.1147816687068,6.563376835727773
000177.jpg,,,130,41.631176619468505,307.47103119599365,6.569953269323817
000178.jpg,,,131,41.70492002304133,302.0656009745214,6.575580420858497
000179.jpg,,,132,41.776760377624285,296.87600533306596,6.5804065956644475
000180.jpg,,,133,41.84627485656228,291.91840297720694,6.5842770722203
000181.jpg,,,134,41.91477087557433,287.11186004666456,6.587785527744836
000182.jpg,,,135,41.98221811843797,282.4536436854232,6.590914017328282
000183.jpg,,,136,42.047958141470396,277.9768052144033,6.59332567454325
000184.jpg,,,137,42.11275251139152,273.6332119944443,6.595409133893332
000185.jpg,,,138,42.17534691140537,269.4869433061174,6.596567117184212
000186.jpg,,,139,42.23637575292468,265.49525930984504,6.597186437405098
000187.jpg,,,140,42.296744805862545,261.6123949784891,6.597511911325269
000188.jpg,,,141,42.356922847409756,257.8020908421939,6.598014621052617
000189.jpg,,,142,42.41528472404544,254.1508222496856,6.597774475025182
000190.jpg,,,143,42.47218417663558,250.63886099633453,6.596885871585323
000191.jpg,,,144,42.52819234926349,247.23037375523543,6.595716591293242
000192.jpg,,,145,42.58248847572078,243.96141126384558,6.593929521552909
000193.jpg,,,146,42.63612618269221,240.77801822509073,6.59197767886402
000194.jpg,,,147,42.688443932724454,237.7111640967798,6.589511567061418
000195.jpg,,,148,42.73976794542027,234.7405142589412,6.586732631921259
000196.jpg,,,149,42.79033065313896,231.85280306809696,6.5837404603849015
000197.jpg,,,150,42.840118873848695,229.04466417687684,6.580580560126754
000198.jpg,,,151,42.88914947313965,226.316377946853,6.577164699448829
000199.jpg,,,152,42.937473273206656,223.66426857325476,6.573495813942357
000200.jpg,,,153,42.98509961526613,221.08217972229556,6.569693073626368
000201.jpg,,,154,43.032109727732845,218.56537922796232,6.565771390842054
000202.jpg,,,155,43.078240082209305,216.12580468116968,6.56154507424042
000203.jpg,,,156,43.12373507039358,213.74948053439766,6.557171720411929
000204.jpg,,,157,43.16878726817539,211.42544027134232,6.552774028823863
000205.jpg,,,158,43.21309038152985,209.16650278829522,6.5481731866879
000206.jpg,,,159,43.25722349925577,206.94598879903424,6.543660812041731
000207.jpg,,,160,43.30018184497179,204.80763826006032,6.538675736152309
000208.jpg,,,161,43.34258743222023,202.7205375058533,6.533615907390302
000209.jpg,,,162,43.3845903287586,200.67834982876198,6.528516406433199
000210.jpg,,,163,43.42625402796923,198.67665550047926,6.523431285364933
000211.jpg,,,164,43.46690512516039,196.7436940587122,6.5179697166492625
000212.jpg,,,165,43.50732095043724,194.84588803845338,6.512535320577661
000213.jpg,,,166,43.54717121616634,192.99450595064908,6.507001282470744
000214.jpg,,,167,43.586726979316026,191.1785159534864,6.5014742800005445
000215.jpg,,,168,43.625676404828695,189.40927636283652,6.495800741725012
000216.jpg,,,169,43.66437375450385,187.672660331653,6.490131942040924
000217.jpg,,,170,43.70224522635404,185.98888410587864,6.48422163288443
000218.jpg,,,171,43.739827618468624,184.336346702214,6.478333986805329
000219.jpg,,,172,43.777592225636916,182.698908254737,6.472620111220935
000220.jpg,,,173,43.81444169922906,181.1153648911439,6.466600230609382
000221.jpg,,,174,43.850946118236344,179.56353798040138,6.460554445165258
000222.jpg,,,175,43.887014582414615,178.04463264016655,6.4544879965444375
000223.jpg,,,176,43.922702448220306,176.5576937779628,6.448363242187103
000224.jpg,,,177,43.95852593386173,175.0832581422277,6.442443291655166
000225.jpg,,,178,43.99383132284067,173.6447062749859,6.436388413708645
000226.jpg,,,179,44.028635832779045,172.23884361954129,6.4302749430215576
000227.jpg,,,180,44.06328895255421,170.85598563358778,6.424155293279305
000228.jpg,,,181,44.09738040919694,169.50834261712993,6.417883724495177
000229.jpg,,,182,44.13109698404037,168.18885123641286,6.411550091196444
000230.jpg,,,183,44.1646324272161,166.88897475471953,6.40530109052431
000231.jpg,,,184,44.19811568993501,165.60557215637616,6.399137611620785
