实验编号,照片,DAT,status,version,conversion_mm_per_pixel,point_count,point_count_reference,point_count_fraction,record_counts,error
S20_X_2,000056.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000056.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7932,7934,,"{'18': 7932, '53': 7932}",
S20_X_2,000057.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000057.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7929,7934,,"{'18': 7929, '53': 7929}",
S20_X_2,000058.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000058.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7932,7934,,"{'18': 7932, '53': 7932}",
S20_X_2,000059.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000059.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7931,7934,,"{'18': 7931, '53': 7931}",
S20_X_2,000060.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000060.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7933,7934,,"{'18': 7933, '53': 7933}",
S20_X_2,000061.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000061.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7930,7934,,"{'18': 7930, '53': 7930}",
S20_X_2,000062.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000062.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7934,7934,,"{'18': 7934, '53': 7934}",
S20_X_2,000063.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000063.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7931,7934,,"{'18': 7931, '53': 7931}",
S20_X_2,000064.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000064.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7927,7934,,"{'18': 7927, '53': 7927}",
S20_X_2,000065.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000065.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7928,7934,,"{'18': 7928, '53': 7928}",
S20_X_2,000066.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000066.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7928,7934,,"{'18': 7928, '53': 7928}",
S20_X_2,000067.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000067.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7930,7934,,"{'18': 7930, '53': 7930}",
