照片,DAT,时间/s,X向力/N,Y向力/N,JPG原始路径,DAT原始路径
000031.jpg,000031.jpg.dat,3.1098,312.100000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000031.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000031.jpg.dat
000032.jpg,000032.jpg.dat,3.2112,322.100000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000032.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000032.jpg.dat
000033.jpg,000033.jpg.dat,3.3126,333.600000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000033.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000033.jpg.dat
000034.jpg,000034.jpg.dat,3.4141,343.600000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000034.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000034.jpg.dat
000035.jpg,000035.jpg.dat,3.5155,353.100000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000035.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000035.jpg.dat
000036.jpg,000036.jpg.dat,3.6169,363.600000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000036.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000036.jpg.dat
000037.jpg,000037.jpg.dat,3.7183,373.100000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000037.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000037.jpg.dat
000038.jpg,000038.jpg.dat,3.8197,383.600000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000038.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000038.jpg.dat
000039.jpg,000039.jpg.dat,3.9211,392.600000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000039.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000039.jpg.dat
000040.jpg,000040.jpg.dat,4.0225,403.100000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000040.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000040.jpg.dat
000041.jpg,000041.jpg.dat,4.1239,413.100000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000041.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000041.jpg.dat
