照片,DAT,时间/s,X向力/N,Y向力/N,JPG原始路径,DAT原始路径
000240.jpg,000240.jpg.dat,2.3857,0.000000,1432.370000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000240.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000240.jpg.dat
000248.jpg,000248.jpg.dat,2.4662,0.000000,1430.870000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000248.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000248.jpg.dat
000256.jpg,000256.jpg.dat,2.5467,0.000000,1429.870000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000256.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000256.jpg.dat
000264.jpg,000264.jpg.dat,2.6272,0.000000,1428.870000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000264.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000264.jpg.dat
000272.jpg,000272.jpg.dat,2.7077,0.000000,1428.370000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000272.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000272.jpg.dat
000280.jpg,000280.jpg.dat,2.7882,0.000000,1427.370000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000280.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000280.jpg.dat
000288.jpg,000288.jpg.dat,2.8687,0.000000,1425.870000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000288.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000288.jpg.dat
000296.jpg,000296.jpg.dat,2.9492,0.000000,1424.370000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000296.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000296.jpg.dat
000304.jpg,000304.jpg.dat,3.0297,0.000000,1423.370000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000304.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000304.jpg.dat
000312.jpg,000312.jpg.dat,3.1102,0.000000,1422.370000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000312.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000312.jpg.dat
