样本末帧,E/MPa,虚功均方根残差/N,样本点数,Y/MPa,H/MPa,拟合均方根残差/MPa
000078.jpg,,,46,33.484171841697695,3199.1045735766315,3.319606780071302
000079.jpg,,,47,33.89426525679806,3053.33199823108,3.4313431820915277
000080.jpg,,,48,34.28809039119189,2916.358043354375,3.5370076359801605
000081.jpg,,,49,34.68770069878544,2781.1998421836056,3.6458985222623195
000082.jpg,,,50,35.064245468524305,2656.4496091423184,3.7447170796622333
000083.jpg,,,51,35.41000562638281,2543.8728515186135,3.8305281608417636
000084.jpg,,,52,35.76367277885403,2431.9876945055603,3.9205528020491625
000085.jpg,,,53,36.10099521287895,2327.517772467165,4.003961461714864
000086.jpg,,,54,36.422589448177185,2229.9636798553975,4.081279834154219
000087.jpg,,,55,36.74253549630772,2135.400563176924,4.158224557729643
000088.jpg,,,56,37.046744184129906,2047.3443655621031,4.228598952485527
000089.jpg,,,57,37.33322684246937,1966.0103484526628,4.291728215138418
000090.jpg,,,58,37.60869985045715,1889.457342655172,4.350672758134068
000091.jpg,,,59,37.873368827707964,1817.4075672647352,4.405806233648733
000092.jpg,,,60,38.12472104977607,1750.300775168922,4.455770878778375
000093.jpg,,,61,38.365618289204974,1687.2791897506847,4.501791002394634
000094.jpg,,,62,38.6015111110841,1626.9710000381247,4.546038915621306
000095.jpg,,,63,38.82854860815354,1570.0996269310103,4.587054157476807
000096.jpg,,,64,39.04281705825851,1517.3584180584737,4.6233100803885385
000097.jpg,,,65,39.25480166393088,1466.3601273833854,4.659278735600832
000098.jpg,,,66,39.462199687653296,1417.5630626392026,4.693586097478601
000099.jpg,,,67,39.6576929352498,1372.323197796999,4.7235354365789535
000100.jpg,,,68,39.85602396284004,1327.6168235258924,4.754958905111595
000101.jpg,,,69,40.051047156264154,1284.606136323801,4.785457973132206
000102.jpg,,,70,40.228708648344885,1245.845193550897,4.809649594684962
000103.jpg,,,71,40.403380647111085,1208.5405428396052,4.833016805470868
000104.jpg,,,72,40.57882499150911,1171.9577753017616,4.857071594653805
000105.jpg,,,73,40.7540021055397,1136.271229360976,4.881307024362655
000106.jpg,,,74,40.921776227583564,1102.6655650725895,4.903101271650035
000107.jpg,,,75,41.0839215334156,1070.775668576114,4.923021935166336
000108.jpg,,,76,41.24596146662326,1039.5999776415897,4.943428106311135
000109.jpg,,,77,41.408820605003406,1009.0045167528529,4.964305070454079
000110.jpg,,,78,41.56615901377385,979.9517362146719,4.98349735654396
000111.jpg,,,79,41.72380671034179,951.4954558134484,5.003074684557646
000112.jpg,,,80,41.87726836779518,924.284791379076,5.021509433438658
000113.jpg,,,81,42.03165153545845,897.5244474151566,5.040641047089917
000114.jpg,,,82,42.183785345319336,871.673413689022,5.059181803320935
000115.jpg,,,83,42.3303218261695,847.1786804879038,5.075886316608733
000116.jpg,,,84,42.47556056882869,823.3952278467292,5.092309686115003
000117.jpg,,,85,42.6215494570834,800.0121024563542,5.10931445991595
000118.jpg,,,86,42.76727773080901,777.1534227412532,5.1265561529992745
000119.jpg,,,87,42.91396015660348,754.6436008716469,5.144511128286366
000120.jpg,,,88,43.057219739539704,733.0486029450524,5.1614248355436745
000121.jpg,,,89,43.199266764007454,712.064552300128,5.178052683451069
000122.jpg,,,90,43.34283690062402,691.3285768195367,5.195500957394883
000123.jpg,,,91,43.484638319485015,671.232986425094,5.212596099722209
000124.jpg,,,92,43.62718439710983,651.4616893109722,5.230249227871663
000125.jpg,,,93,43.76825969545511,632.268653131508,5.247603003498378
