frame_index,photo,time_role,photo_time_s,Boundary0_X2_N,Boundary1_Y2_N,Boundary2_Y1_N,Boundary3_X1_N
93,000093.jpg,synchronized,9.306295774648,1170.000000,1164.960000,1175.700000,1153.360000
94,000094.jpg,synchronized,9.406309859155,1179.000000,1175.960000,1184.700000,1162.360000
95,000095.jpg,synchronized,9.506323943662,1188.000000,1185.283944,1195.023944,1172.331831
96,000096.jpg,synchronized,9.606338028169,1198.000000,1196.960000,1205.700000,1184.360000
97,000097.jpg,synchronized,9.706352112676,1207.000000,1204.960000,1214.700000,1193.360000
98,000098.jpg,synchronized,9.806366197183,1216.000000,1214.960000,1223.700000,1202.360000
99,000099.jpg,synchronized,9.906380281690,1225.000000,1222.960000,1232.700000,1211.360000
100,000100.jpg,synchronized,10.006394366197,1233.000000,1231.960000,1241.700000,1219.360000
101,000101.jpg,synchronized,10.106408450704,1243.000000,1240.960000,1249.700000,1228.360000
102,000102.jpg,synchronized,10.206422535211,1251.000000,1248.960000,1258.700000,1236.360000
103,000103.jpg,synchronized,10.306436619718,1260.000000,1258.960000,1267.700000,1244.360000
104,000104.jpg,synchronized,10.406450704225,1268.000000,1266.960000,1275.700000,1252.360000
105,000105.jpg,synchronized,10.506464788732,1276.000000,1274.960000,1283.700000,1260.360000
106,000106.jpg,synchronized,10.606478873239,1284.478873,1283.438873,1292.178873,1268.796620
107,000107.jpg,synchronized,10.706492957746,1293.000000,1291.960000,1300.700000,1279.360000
108,000108.jpg,synchronized,10.806507042254,1301.000000,1298.960000,1308.700000,1286.360000
109,000109.jpg,synchronized,10.906521126761,1308.000000,1307.960000,1315.700000,1294.360000
110,000110.jpg,synchronized,11.006535211268,1316.000000,1314.960000,1323.700000,1302.360000
111,000111.jpg,synchronized,11.106549295775,1323.000000,1321.960000,1330.700000,1308.360000
112,000112.jpg,synchronized,11.206563380282,1329.000000,1328.960000,1337.700000,1315.360000
113,000113.jpg,synchronized,11.306577464789,1337.000000,1335.960000,1345.700000,1322.360000
114,000114.jpg,synchronized,11.406591549296,1344.000000,1342.960000,1351.700000,1329.360000
115,000115.jpg,synchronized,11.506605633803,1351.000000,1349.960000,1358.700000,1335.360000
116,000116.jpg,synchronized,11.606619718310,1358.000000,1355.960000,1364.700000,1341.360000
117,000117.jpg,synchronized,11.706633802817,1364.000000,1363.593803,1372.333803,1349.261408
118,000118.jpg,synchronized,11.806647887324,1370.000000,1368.960000,1377.700000,1356.360000
119,000119.jpg,synchronized,11.906661971831,1377.000000,1373.960000,1383.700000,1362.360000
120,000120.jpg,synchronized,12.006676056338,1382.000000,1379.960000,1388.700000,1368.360000
121,000121.jpg,synchronized,12.106690140845,1387.000000,1385.960000,1394.700000,1373.360000
122,000122.jpg,synchronized,12.206704225352,1393.000000,1390.960000,1399.700000,1378.360000
123,000123.jpg,synchronized,12.306718309859,1398.000000,1395.960000,1404.700000,1383.360000
124,000124.jpg,synchronized,12.406732394366,1402.000000,1399.960000,1408.700000,1388.360000
125,000125.jpg,synchronized,12.506746478873,1408.000000,1404.960000,1413.700000,1392.360000
126,000126.jpg,synchronized,12.606760563380,1412.000000,1408.960000,1417.700000,1396.360000
127,000127.jpg,synchronized,12.706774647887,1417.000000,1412.960000,1421.700000,1400.360000
128,000128.jpg,synchronized,12.806788732394,1420.000000,1416.960000,1425.700000,1404.937465
129,000129.jpg,synchronized,12.906802816901,1424.000000,1420.960000,1429.700000,1409.360000
130,000130.jpg,synchronized,13.006816901408,1427.000000,1423.960000,1432.700000,1413.360000
131,000131.jpg,synchronized,13.106830985915,1431.000000,1425.960000,1435.700000,1417.360000
132,000132.jpg,synchronized,13.206845070423,1434.000000,1429.960000,1438.700000,1420.360000
133,000133.jpg,synchronized,13.306859154930,1436.000000,1431.960000,1440.700000,1422.360000
134,000134.jpg,synchronized,13.406873239437,1439.000000,1434.960000,1443.700000,1425.360000
135,000135.jpg,synchronized,13.506887323944,1442.000000,1437.960000,1445.700000,1427.360000
136,000136.jpg,synchronized,13.606901408451,1444.000000,1438.960000,1447.700000,1429.360000
137,000137.jpg,synchronized,13.706915492958,1446.000000,1440.960000,1449.700000,1431.360000
138,000138.jpg,synchronized,13.806929577465,1448.000000,1442.960000,1451.700000,1432.360000
