照片,时间/s,X向力/N,Y向力/N,DIC导出文件,DIC数据来源,合并文件,点数,DAT原始点数,排除无效点数,状态
000248.jpg,24.8460,0.000000,1379.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000248.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000248_DIC全场—力.csv,6165,6167,2,READY
000256.jpg,25.6488,0.000000,1379.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000256.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000256_DIC全场—力.csv,6166,6168,2,READY
000264.jpg,26.4516,0.000000,1377.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000264.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000264_DIC全场—力.csv,6165,6167,2,READY
000272.jpg,27.2545,0.000000,1377.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000272.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000272_DIC全场—力.csv,6164,6166,2,READY
000280.jpg,28.0573,0.000000,1377.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000280.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000280_DIC全场—力.csv,6165,6167,2,READY
000288.jpg,28.8601,0.000000,1376.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000288.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000288_DIC全场—力.csv,6166,6168,2,READY
000296.jpg,29.6629,0.000000,1377.330303,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000296.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000296_DIC全场—力.csv,6165,6167,2,READY
000304.jpg,30.4658,0.000000,1378.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000304.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000304_DIC全场—力.csv,6166,6168,2,READY
000312.jpg,31.2686,0.000000,1380.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000312.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000312_DIC全场—力.csv,6166,6168,2,READY
000320.jpg,32.0714,0.000000,1383.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000320.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000320_DIC全场—力.csv,6166,6168,2,READY
000328.jpg,32.8743,0.000000,1384.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000328.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000328_DIC全场—力.csv,6166,6168,2,READY
000336.jpg,33.6771,0.000000,1386.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000336.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000336_DIC全场—力.csv,6166,6168,2,READY
000344.jpg,34.4799,0.000000,1388.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000344.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000344_DIC全场—力.csv,6166,6168,2,READY
000352.jpg,35.2827,0.000000,1389.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000352.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000352_DIC全场—力.csv,6166,6168,2,READY
000360.jpg,36.0856,0.000000,1391.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000360.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000360_DIC全场—力.csv,6166,6168,2,READY
000368.jpg,36.8884,0.000000,1394.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000368.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000368_DIC全场—力.csv,6166,6168,2,READY
000376.jpg,37.6912,0.000000,1397.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000376.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000376_DIC全场—力.csv,6166,6168,2,READY
000384.jpg,38.4941,0.000000,1399.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000384.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000384_DIC全场—力.csv,6166,6168,2,READY
000392.jpg,39.2969,0.000000,1401.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000392.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000392_DIC全场—力.csv,6166,6168,2,READY
000400.jpg,40.0997,0.000000,1404.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000400.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000400_DIC全场—力.csv,6166,6168,2,READY
000408.jpg,40.9025,0.000000,1406.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000408.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000408_DIC全场—力.csv,6166,6168,2,READY
000416.jpg,41.7054,0.000000,1408.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000416.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000416_DIC全场—力.csv,6166,6168,2,READY
000424.jpg,42.5082,0.000000,1410.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000424.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000424_DIC全场—力.csv,6166,6168,2,READY
000432.jpg,43.3110,0.000000,1412.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000432.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000432_DIC全场—力.csv,6166,6168,2,READY
000440.jpg,44.1138,0.000000,1415.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000440.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000440_DIC全场—力.csv,6166,6168,2,READY
000448.jpg,44.9167,0.000000,1418.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000448.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000448_DIC全场—力.csv,6166,6168,2,READY
000456.jpg,45.7195,0.000000,1421.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000456.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000456_DIC全场—力.csv,6166,6168,2,READY
000464.jpg,46.5223,0.000000,1423.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000464.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000464_DIC全场—力.csv,6166,6168,2,READY
